Image 0: Predicted = 5, Label = 5
Image 1: Predicted = 0, Label = 0
Image 2: Predicted = 4, Label = 4
Image 3: Predicted = 1, Label = 1
Image 4: Predicted = 9, Label = 9
Image 5: Predicted = 2, Label = 2
Image 6: Predicted = 1, Label = 1
Image 7: Predicted = 3, Label = 3
Image 8: Predicted = 1, Label = 1
Image 9: Predicted = 4, Label = 4
Image 10: Predicted = 3, Label = 3
Image 11: Predicted = 5, Label = 5
Image 12: Predicted = 3, Label = 3
Image 13: Predicted = 6, Label = 6
Image 14: Predicted = 1, Label = 1
Image 15: Predicted = 7, Label = 7
Image 16: Predicted = 2, Label = 2
Image 17: Predicted = 8, Label = 8
Image 18: Predicted = 6, Label = 6
Image 19: Predicted = 9, Label = 9
Image 20: Predicted = 4, Label = 4
Image 21: Predicted = 0, Label = 0
Image 22: Predicted = 9, Label = 9
Image 23: Predicted = 1, Label = 1
Image 24: Predicted = 1, Label = 1
Image 25: Predicted = 2, Label = 2
Image 26: Predicted = 4, Label = 4
Image 27: Predicted = 3, Label = 3
Image 28: Predicted = 2, Label = 2
Image 29: Predicted = 7, Label = 7
Image 30: Predicted = 3, Label = 3
Image 31: Predicted = 8, Label = 8
Image 32: Predicted = 6, Label = 6
Image 33: Predicted = 7, Label = 9
Image 34: Predicted = 5, Label = 0
Image 35: Predicted = 5, Label = 5
Image 36: Predicted = 6, Label = 6
Image 37: Predicted = 0, Label = 0
Image 38: Predicted = 7, Label = 7
Image 39: Predicted = 6, Label = 6
Image 40: Predicted = 1, Label = 1
Image 41: Predicted = 8, Label = 8
Image 42: Predicted = 7, Label = 7
Image 43: Predicted = 9, Label = 9
Image 44: Predicted = 3, Label = 3
Image 45: Predicted = 9, Label = 9
Image 46: Predicted = 8, Label = 8
Image 47: Predicted = 5, Label = 5
Image 48: Predicted = 5, Label = 9
Image 49: Predicted = 3, Label = 3
Image 50: Predicted = 3, Label = 3
Image 51: Predicted = 0, Label = 0
Image 52: Predicted = 7, Label = 7
Image 53: Predicted = 4, Label = 4
Image 54: Predicted = 9, Label = 9
Image 55: Predicted = 8, Label = 8
Image 56: Predicted = 0, Label = 0
Image 57: Predicted = 9, Label = 9
Image 58: Predicted = 4, Label = 4
Image 59: Predicted = 1, Label = 1
Image 60: Predicted = 4, Label = 4
Image 61: Predicted = 4, Label = 4
Image 62: Predicted = 6, Label = 6
Image 63: Predicted = 0, Label = 0
Image 64: Predicted = 4, Label = 4
Image 65: Predicted = 5, Label = 5
Image 66: Predicted = 6, Label = 6
Image 67: Predicted = 1, Label = 1
Image 68: Predicted = 0, Label = 0
Image 69: Predicted = 0, Label = 0
Image 70: Predicted = 1, Label = 1
Image 71: Predicted = 7, Label = 7
Image 72: Predicted = 1, Label = 1
Image 73: Predicted = 6, Label = 6
Image 74: Predicted = 3, Label = 3
Image 75: Predicted = 0, Label = 0
Image 76: Predicted = 2, Label = 2
Image 77: Predicted = 1, Label = 1
Image 78: Predicted = 1, Label = 1
Image 79: Predicted = 7, Label = 7
Image 80: Predicted = 0, Label = 9
Image 81: Predicted = 0, Label = 0
Image 82: Predicted = 2, Label = 2
Image 83: Predicted = 6, Label = 6
Image 84: Predicted = 7, Label = 7
Image 85: Predicted = 8, Label = 8
Image 86: Predicted = 3, Label = 3
Image 87: Predicted = 9, Label = 9
Image 88: Predicted = 0, Label = 0
Image 89: Predicted = 4, Label = 4
Image 90: Predicted = 6, Label = 6
Image 91: Predicted = 7, Label = 7
Image 92: Predicted = 4, Label = 4
Image 93: Predicted = 6, Label = 6
Image 94: Predicted = 8, Label = 8
Image 95: Predicted = 0, Label = 0
Image 96: Predicted = 7, Label = 7
Image 97: Predicted = 8, Label = 8
Image 98: Predicted = 3, Label = 3
